ds,yhat,yhat_lower,yhat_upper
2000-01-01,19.543501530935657,8.556098088390392,29.852151655837833
2001-01-01,20.03804337975675,9.083824336724982,30.525086250322524
2002-01-01,19.877980555024845,8.863347494679145,31.50652586178279
2003-01-01,19.718411454233163,9.2766444093795,31.471869858619428
2004-01-01,19.559551031009573,7.811739609147895,29.78489644798033
2005-01-01,20.05412871196671,9.27527140428029,30.759039955850987
2006-01-01,19.894173727772703,8.969533317164016,30.188904904239596
2007-01-01,19.734809187730633,9.350348005570481,31.010506843394236
2008-01-01,19.576594756509355,8.69609829481095,30.647602352989328
2009-01-01,20.07318609472132,9.327662628665994,31.897632657077974
2010-01-01,19.92402581944457,8.72059682171804,30.599115163702752
2011-01-01,19.778222477858627,8.59350889635317,31.28994632971465
2012-01-01,19.63371110324963,8.66435637136642,30.071437455216483
2013-01-01,20.142664631823447,9.529903240289093,31.677914239382048
2014-01-01,19.99698440898425,9.332985619330502,30.587940250269774
2015-01-01,19.851797902177935,8.87922005081383,30.53471696971581
2016-01-01,19.707304129766865,8.117110805456331,30.948314114640848
2017-01-01,20.21626813378465,9.523957107777711,31.09952203897004
2018-01-01,20.070587976947913,8.986443656491959,30.919663201951735
2019-01-01,19.925401532661645,8.653461204389421,30.495144959429513
2020-01-01,19.78090794602915,9.182595196648592,31.00982247609915
2021-01-01,20.28987204119588,9.708377558264578,31.152585468443608
2022-01-01,20.14419197857441,9.378306998934333,30.749570112853622
2023-01-01,19.999005636363282,8.700726598482015,30.169074254284315
2023-12-31,19.213807598797707,8.544941837265126,30.348930568775238
2024-12-31,19.710909446444944,8.917108835521512,30.777554105431
2025-12-31,19.568394960564152,8.730436660196565,31.325789727332374
2026-12-31,19.42716434773496,9.008570877602924,30.896565096434816
2027-12-31,19.28741170250093,8.40357764796033,29.489486742923493
2028-12-31,19.784513550147143,8.844884259631792,31.010172775893178
2029-12-31,19.641999064265026,8.035148004336781,30.972273530754286
2030-12-31,19.500768451437644,9.214498646960632,30.239368505638808
2031-12-31,19.36101580620121,7.9798995993234465,29.991474214502823
2032-12-31,19.858117653847764,8.767772600262228,31.09334780892116
2033-12-31,19.71560316796848,8.489406971222383,30.975531434404946
2034-12-31,19.574372555137018,8.147553281636155,31.452068120056488
2035-12-31,19.4346199099041,8.579006599690306,30.67002673978194
2036-12-31,19.93172175755187,8.989931581012065,30.637554148473626
2037-12-31,19.789207271672353,8.533916363643849,31.28166060438799
2038-12-31,19.64797665884087,9.137194893513362,31.06766625587848
2039-12-31,19.50822401360816,8.43699401548045,30.06139975531988
2040-12-31,20.005325861254377,8.38834859525052,32.01815283754206
2041-12-31,19.862811375372587,8.954016629174575,30.796501870825832
2042-12-31,19.72158076254441,8.109214705196742,29.78513799324458
2043-12-31,19.581828117307975,8.602234128726662,30.61845724934674
2044-12-31,20.078929964954124,9.373034999014974,30.798505152662358
2045-12-31,19.93641547907549,8.990673851769651,30.87911906959548
2046-12-31,19.795184866246696,8.236988960967977,31.143615695458646
2047-12-31,19.65543222101087,8.875100123099653,30.639734399594808
2048-12-31,20.152534068657857,8.802606696473921,31.553846143744554
2049-12-31,20.01001958277919,9.16266460945519,30.6667271125661
2050-12-31,19.868788969948497,9.468292626773984,29.562772696615724
2051-12-31,19.72903632471453,9.05477509670724,30.994220641273166
2052-12-31,20.2261381723614,8.089797014687344,29.75975364634448
